,ObamaVotes,ObamaEV,RomneyVotes,RomneyEV,JohnsonVotes,JohnsonEV,SteinVotes,SteinEV
alabama,795696,0,1255925,9,12328,0,3397,0
arizona,1025232,0,1233654,11,32100,0,7816,0
arkansas,394409,0,647744,6,16276,0,9305,0
california,7854285,55,4839958,0,143221,0,85638,0
colorado,1323101,9,1185243,0,35545,0,7508,0
connecticut,905083,7,634892,0,12580,0,863,0
delaware,242584,3,165484,0,3882,0,1940,0
district of columbia,267070,3,21381,0,2083,0,2458,0
florida,4237756,29,4163447,0,44726,0,8947,0
georgia,1773827,0,2078688,16,45324,0,1516,0
idaho,212787,0,420911,4,9453,0,4402,0
illinois,3019512,20,2135216,0,56229,0,30222,0
indiana,1152887,0,1420543,11,50111,0,625,0
iowa,822544,6,730617,0,12926,0,3769,0
kansas,440726,0,692634,6,20456,0,714,0
kentucky,679370,0,1087190,8,17063,0,6337,0
louisiana,809141,0,1152262,8,18157,0,6978,0
maine,401306,4,292276,0,9352,0,8119,0
maryland,1677844,10,971869,0,30195,0,17110,0
massachusetts,1921290,11,1188314,0,30920,0,20691,0
michigan,2564569,16,2115256,0,7774,0,21897,0
minnesota,1546167,10,1320225,0,35098,0,13023,0
mississippi,562949,0,710746,6,6676,0,1588,0
missouri,1223796,0,1482440,10,43151,0,0,0
montana,201839,0,267928,3,14165,0,0,0
nebraska,302081,0,475064,5,11109,0,0,0
nevada,531373,6,463567,0,10968,0,0,0
new hampshire,369561,4,329918,0,8212,0,324,0
new jersey,2125101,14,1477568,0,21045,0,9888,0
new mexico,415335,5,335788,0,27788,0,2691,0
new york,4485741,29,2490431,0,47256,0,39982,0
north carolina,2178391,0,2270395,15,44515,0,0,0
north dakota,124827,0,188163,3,5231,0,1361,0
ohio,2827710,18,2661433,0,49493,0,18574,0
oklahoma,443547,0,891325,7,0,0,0,0
oregon,970488,7,754175,0,24089,0,19427,0
pennsylvania,2990274,20,2680434,0,49991,0,21341,0
rhode island,279677,4,157204,0,4388,0,2421,0
south carolina,865941,0,1071645,9,16321,0,5446,0
south dakota,145039,0,210610,3,5795,0,0,0
tennessee,960709,0,1462330,11,18623,0,6515,0
texas,3308124,0,4569843,38,88580,0,24657,0
utah,251813,0,740600,6,12572,0,3817,0
vermont,199239,3,92698,0,3487,0,594,0
virginia,1971820,13,1822522,0,31216,0,8627,0
washington,1755396,12,1290670,0,42202,0,20928,0
west virginia,238269,0,417655,5,6302,0,4406,0
wisconsin,1620985,10,1407966,0,20439,0,7665,0
wyoming,69286,0,170962,3,5326,0,3487,0
